company,position,location,description,skills
Adyen,Senior Software Engineer Checkout,Amsterdam,"this is adyen
adyen provides payments, data, and financial products in a single solution for customers like meta, uber, h&m, and microsoft - making us the financial technology platform of choice. at adyen, everything we do is engineered for ambition. 
for our teams, we create an environment with opportunities for our people to succeed, backed by the culture and support to ensure they are enabled to truly own their careers. we are motivated individuals who tackle unique technical challenges at scale and solve them as a team. together, we deliver innovative and ethical solutions that help businesses achieve their ambitions faster.
checkout the checkout team builds and maintains adyenâs online payment integrations, primarily the checkout api. the checkout api is the integration merchants use to accept online payments, ranging from card payments (visa, mastercard, amex, etc.) to alternative payment methods such as paypal and cashapp. next to the checkout api, the checkout experiences team also is responsible for hosted products like pay by link, used by a large base of merchants to .
things we value as a team:

you thrive in a highly collaborative environment. the idea of coding together sparkles some joy inside you.
you enjoy solving complex problems and simplifying the unnecessary complexity from old code. 
you work in small chunks and you know it is not done until it is in the merchant hands.
you like owning things end to end, as a team. no predigested endless specification where you just translate to code. 
you think continuous improvement is key in every aspect of the job. you value feedback and are open to receive and provide it, with peers, manager, other teams, you name it. 

your past experience:

you have experience with java, web services, rest apis.
you know how important it is to have an intuitive and consistent api to make it simple for developers on the merchant side. 
you are used to thinking about performance and reliability, you have tackled a couple of nice challenges there.
having been part of a team in the payment processing flow is a plus.

our diversity, equity and inclusion commitments 
our unique approach is a product of our diverse perspectives. this diversity of backgrounds and cultures is essential in helping us maintain our momentum. our business and technical challenges are unique, and we need as many different voices as possible to join us in solving them - voices like yours. no matter who you are or where youâre from, we welcome you to be your true self at adyen. 
studies show that women and members of underrepresented communities apply for jobs only if they meet 100% of the qualifications. does this sound like you? if so, adyen encourages you to reconsider and apply. we look forward to your application!
whatâs next?
ensuring a smooth and enjoyable candidate experience is critical for us. we aim to get back to youplease mention the word **altruistically** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['java']
Adyen,Solutions Architect,Madrid,"this is adyen
adyen provides payments, data, and financial products in a single solution for customers like meta, uber, lvmh, leboncoin, decathlon, and qonto - making us the financial technology platform of choice. at adyen, everything we do is engineered for ambition. 
for our teams, we create an environment with opportunities for our people to succeed, backed by the culture and support to ensure they are enabled to truly own their careers. we are motivated individuals who tackle unique technical challenges at scale and solve them as a team. together, we deliver innovative and ethical solutions that help businesses achieve their ambitions faster. 
implementation engineer
adyen is looking for an implementation engineer with a solid understanding of and hands-on experience with technology, integration design, project management and a strong merchant focus. as an implementation engineer, you will be the primary point of contact for our merchant's technical teams, guiding them through the design, development, testing, and launch phases of their integrations with adyen's platform. your focus will be on ensuring an exceptional merchant experience throughout the project lifecycle. 
in this role, you will have the opportunity to work on diverse projects that encompass various payment solutions, including e-commerce platforms, marketplaces, and card issuing programs. by leveraging your technical proficiency and business acumen, you will play a vital role in guaranteeing a smooth implementation process and maintaining open lines of communication with our merchants and internal teams. this position is based in our paris office, and the ideal candidate is both consultative and technical.
what you'll do:
- utilize development and programming expertise to create scalable and robust solutions for merchant integrations, while ensuring adherence to payment best practices.
- serve as a consultative partner in specific verticals such as e-commerce, point of sale, and multi-faceted platforms, guiding merchants through integration processes.
- collaborate cross-functionally with sales, account managers, product, and engineering teams to deliver seamless merchant experiences and drive continuous improvements.
- leverage project management and technical consulting skills to oversee high-quality project delivery, guaranteeing the technical integrity of merchant integrations.
- provide consultation on optimizing payment solutions, including checkout experiences, authentication, omni-channel payments, and platform onboarding, while collaborating with developers and product managers to enhance the platform.
who you are:
- 3+ years experience integrating and/or providing technical consultation when integrating with web apis
- proven ability to quickly learn new technologies, understand complex systems (apis, databases, sdk's, etc.), and desire to improve technical acumen
- excellent communication skills; comfortable leading meetings with high level decision makers
- ability to identify and clearly communicate pragmatic solutions to complex integration problems
- a good level of written and spoken business english & spanish is required for this position
- experience in the payments landscape is a big plusplease mention the word **chaste** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Circle Care Services,BCBA Up 75,"Silver Spring, MD","setting: in-homehours: daytime and afternoon hours availablepay: $90,000-$120,000bcba key skills/experience:active bcba certification and licensure2-4 years of experience in aba instructionstrong knowledge of aba techniques and graphing proceduresability to lead and instruct therapistswhat we offer:strong mentorship and supportimmediate full & part-time positionsflexible hourscompetitive salarybenefits for full-time employees:medical, dental and vision insurancelife insurance2 weeks of pto6 legal holidays offabout circle care services:circle care services has gained the trust of parents, educators, and physicians as a leading provider of applied behavior analysis (aba) therapy for children on the autism spectrum. we are committed to bringing our clients expert treatment, innovative techniques, and compassionate, child-centered care, scheduled at the familiesâ convenience.   at circle care services, we prioritize supporting our employees. as you contribute to enhancing the lives of children, you can expect to receive clinical support, respect, training, accommodations, understanding, and camaraderie from us. \n\n$90,000 - $120,000 a year\n*circle care services has an equal opportunity policy: *we are an equal opportunity employer that is committed to diversity and inclusion in the workplace. we prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.this policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, training, and apprenticeship. circle care services makes hiring decisions based solely on qualifications, merit, and business needs at the time.please mention the word **safe** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Orion Innovation,Job Opening Orion Innovation,Remote,"job description: we are looking for a talented individual to join our team. responsibilities include developing software solutions, collaborating with cross-functional teams, and ensuring high-quality deliverables. the ideal candidate will have experience in software development, strong problem-solving skills, and the ability to work in a fast-paced environment. qualifications: - bachelor's degree in computer science or related field - 3+ years of experience in software development - proficiency in programming languages such as java, python, or c++ - excellent communication skills - ability to work independently and as part of a team. posting date: march 23, 2023.please mention the word **privileged** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['python', 'java']"
Smart Working Solutions,Mid level Full Stack Engineer HRPS PK,,"about smart workingat smart working, we believe your job should not only look right on paper but also feel right every day. this isnât just another remote opportunity - itâs about finding where you truly belong, no matter where you are. from day one, youâre welcomed into a genuine community that values your growth and well-being.our mission is simple: to break down geographic barriers and connect skilled professionals with outstanding global teams and products for full-time, long-term roles. we help you discover meaningful work with teams that invest in your success, where youâre empowered to grow personally and professionally.join one of the highest-rated workplaces on glassdoor and experience what it means to thrive in a truly remote-first world.about the roleweâre looking for a mid-level full-stack engineer to join a collaborative engineering pod developing and enhancing a large-scale hr and payroll platform. youâll work across both front-end and back-end layers â using .net/c#, angular, and sql â to design, build, and deploy high-quality, performant features that support thousands of users. this is a hands-on, long-term opportunity for a developer who values clean architecture, teamwork, and continuous learning in a high-quality product engineering environment.\nresponsibilitiesfeature development â design, develop, test, and deploy high-quality features and enhancements for a modern hr and payroll platform using .net/c#, angular, and sql.bug resolution â identify, analyse, and resolve issues pragmatically during development and qa, maintaining reliability and scalability at all times.maintenance & optimisation â maintain and upgrade existing features and components to ensure system performance and stability.collaboration â work closely with team leads, product managers, ux designers, and other software engineers in an agile pod structure.code quality â contribute to best practices through code reviews, pairing, and technical discussions, ensuring maintainable, efficient, and secure code.technical analysis â perform technical research and analysis to support architectural decisions, technology choices, and design discussions.mentorship & knowledge sharing â provide constructive feedback and mentorship to peers, fostering a culture of learning and collaboration.requirements4+ years of professional experience in software development, with at least 2 years working as a full-stack engineer..net/c#: 2+ years of experience developing scalable backend systems and restful apis.angular: 2+ years of experience building responsive, component-based uis.sql: 2+ years of experience in data modelling, query optimisation, and integration with application layers.strong understanding of software design principles, debugging, and testing methodologies.proven ability to collaborate cross-functionally and deliver features in an agile team environment.excellent problem-solving, communication, and analytical skills.nice to haveterraform (1+ year) â experience building infrastructure using infrastructure-as-code.exposure to cloud-based development environments (azure, aws, or gcp).familiarity with ci/cd pipelines and modern devops practices.interest in mentoring and contributing to engineering process improvements.\nat smart working, youâll never be just another remote hire.be a smart worker â valued, empowered, and part of a culture that celebrates integrity, excellence, and ambition.if that sounds like your kind of place, weâd love to hear your story. please mention the word **commendable** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['sql', 'aws', 'azure']"
Jobgether,Director Security Engineering,,"this position is posted by jobgether on behalf of a partner company. we are currently looking for a director, security engineering in the united states.this role provides an opportunity to lead and shape the security strategy for a large-scale, cloud-based platform serving hundreds of thousands of websites. you will manage a high-performing team of security engineers, implementing innovative practices to protect critical infrastructure and ensure compliance with standards like pci-dss and soc2. this position offers the chance to influence security at the platform and application level, collaborating with cross-functional teams across engineering, legal, and governance functions. you will drive initiatives in secure coding, threat modeling, vulnerability remediation, and cloud security, all while fostering a strong culture of security awareness. the role combines leadership, hands-on technical expertise, and strategic vision to strengthen resilience and trust across the platform.accountabilities:â·â â â â â â â  lead, mentor, and manage a team of security engineers, fostering collaboration and high performance.â·â â â â â â â  develop and implement the companyâs security vision, roadmap, and âshift leftâ principles.â·â â â â â â â  manage the security engineering budget and oversee selection, deployment, and operation of security tools (sast/dast, iast, cspm).â·â â â â â â â  conduct security reviews, threat modeling, risk assessments, and vulnerability remediation planning.â·â â â â â â â  partner with cross-functional teams to integrate security into development, product roadmaps, and engineering processes.â·â â â â â â â  drive adoption of secure coding practices through training, workshops, and mentorship.â·â â â â â â â  collaborate with security operations to investigate, respond to, and communicate security incidents effectively.â·â â â â â â â  recruit and develop security champions within the organization to advocate best practices.â·â â â â â â â  stay current on emerging threats, trends, and technologies, and implement innovative mitigation strategies.â·â â â â â â â  communicate security posture, initiatives, and technical updates clearly to stakeholders at all levels.
â·â â â â â â â  10+ years of experience in information security or a related field.â·â â â â â â â  proven experience leading and managing a team of security engineers.â·â â â â â â â  industry-recognized security certification such as cissp, cism, or csslp.â·â â â â â â â  deep experience with cloud platforms (aws, gcp, azure) and infrastructure as code security (terraform, cloudformation).â·â â â â â â â  strong knowledge of application and platform security, web encryption protocols, and vulnerability remediation techniques.â·â â â â â â â  experience translating iso 27001 or nist 800-53 controls into practical engineering requirements.â·â â â â â â â  knowledge of secure coding practices, sdlc integration, and âshift leftâ security principles.â·â â â â â â â  excellent leadership, communication, problem-solving, and collaboration skills.â·â â â â â â â  passion for security and ability to work independently in a fast-paced environment.â·â â â â â â â  experience with cspm and cwpp tools (e.g., wiz) is a strong plus.
â·â â â â â â â  industry-competitive salary with performance-based bonus.â·â â â â â â â  equity plan and long-term incentive opportunities.â·â â â â â â â  flexible time off, paid sick days, and 13 paid holidays.â·â â â â â â â  comprehensive medical, dental, and vision insurance.â·â â â â â â â  paid parental leave, including fertility, adoption, and family planning support.â·â â â â â â â  monthly wellness allowance and access to professional development resources like linkedin learning.â·â â â â â â â  team-based and company-wide events for collaboration, education, and engagement.â·â â â â â â â  dynamic, mission-driven work environment focused on secure, resilient technology. jobgether is a talent matching platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through ai-driven job matching.when you apply, your profile undergoes an ai-powered screening designed to identify top talent efficiently and fairly. ð our ai evaluates your cv and linkedin profile thoroughly, analyzing your skills, experience, and achievements. ð it compares your profile to the roleâs core requirements and past success factors to determine your match score. ð¯ based on this analysis, the three candidates with the highest match are automatically shortlisted. ð§  when needed, our human team may perform an additional manual review to ensure no strong profile is missed.the process is transparent, skills-based, and free of bias, focusing solely on your fit for the role. once the shortlist is completed, it is shared directly with the company that owns the job opening. the final decision and next steps (such as interviews or additional assessments) are determined by their internal hiring team.thank you for your interest!â #li-cl1please mention the word **resound** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['aws', 'azure']"
Jobgether,Distribution Designer,,"this position is posted by jobgether on behalf of a partner company. we are currently looking for a distribution designer in the united states.this role offers the opportunity to contribute to the next generation of electric distribution systems in a fast-paced, innovative environment. you will develop detailed design packages for overhead and underground electric systems, ensuring compliance with utility standards and codes. working remotely, you will collaborate closely with cross-functional teams, utility contacts, and stakeholders, balancing technical accuracy with constructability. this position allows you to apply your expertise with industry-standard tools such as poleforeman, autodesk utility design, arcfm, and infor efd. you will also participate in field investigations to validate conditions and support project deliverables. the role combines technical design work, project documentation, and client engagement, providing broad exposure to modern energy infrastructure projects.accountabilities:â·â â â â â â â  develop electric distribution design packages (oh/ug) according to utility standards and specifications.â·â â â â â â â  perform pole loading calculations and structural analysis using poleforeman.â·â â â â â â â  produce designs leveraging autodesk utility design (aud), arcfm, and gis data.â·â â â â â â â  utilize infor efd for work management, tracking, and reporting.â·â â â â â â â  apply nesc, nec, and utility criteria for conductor selection, clearances, and construction units.â·â â â â â â â  create material lists, construction notes, and supporting documentation for work order packages.â·â â â â â â â  review and perform qa/qc on design deliverables to ensure accuracy and constructability.â·â â â â â â â  coordinate with cross-functional teams and maintain professional communication with clients, municipalities, and stakeholders.â·â â â â â â â  participate in occasional field investigations to validate site conditions and gather design inputs.
â·â â â â â â â  3+ years of experience in electric distribution design.â·â â â â â â â  proficiency with poleforeman, autodesk utility design (aud), arcfm, and infor efd.â·â â â â â â â  strong understanding of overhead and underground electric distribution systems and construction practices.â·â â â â â â â  experience with gis-based design tools (e.g., esri arcgis) and utility work management systems.â·â â â â â â â  knowledge of applicable codes (nesc, nec) and utility-specific standards.â·â â â â â â â  ability to work independently in a fast-paced, remote environment.â·â â â â â â â  bachelorâs degree in engineering (design engineer) or technical degree/certificate (designer) preferred.
â·â â â â â â â  comprehensive health, dental, and vision coverage, with 100% premium coverage for the employee.â·â â â â â â â  generous paid time off and holidays.â·â â â â â â â  401(k) plan with up to 4% company match, 100% vested from day one.â·â â â â â â â  flexible work options, including hybrid and remote arrangements depending on position.â·â â â â â â â  opportunities to work with industry leaders and contribute to cutting-edge energy projects. jobgether is a talent matching platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through ai-driven job matching.when you apply, your profile undergoes an ai-powered screening designed to identify top talent efficiently and fairly. ð our ai evaluates your cv and linkedin profile thoroughly, analyzing your skills, experience, and achievements. ð it compares your profile to the roleâs core requirements and past success factors to determine your match score. ð¯ based on this analysis, the three candidates with the highest match are automatically shortlisted. ð§  when needed, our human team may perform an additional manual review to ensure no strong profile is missed.the process is transparent, skills-based, and free of bias, focusing solely on your fit for the role. once the shortlist is completed, it is shared directly with the company that owns the job opening. the final decision and next steps (such as interviews or additional assessments) are determined by their internal hiring team.thank you for your interest!â #li-cl1please mention the word **hale** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Chime,Senior Manager Marketing Compliance,"San Francisco, CA","weâre hiring a senior manager, marketing compliance to lead our marketing compliance team at chime. in this role, youâll shape and execute the compliance strategy that enables chime to deliver compelling and compliant marketing at scale. youâll oversee a team responsible for reviewing and advising on marketing and member communications across channelsâfrom paid media and lifecycle marketing to social, web, and branding.

this role is ideal for a strategic, fast-thinking leader who brings both subject matter expertise and a builderâs mindset. youâll work closely with marketing, legal, product, and others to enable go-to-market velocity while protecting chime and our members from compliance and reputational risks.

the base salary offered for this role and level of experience will begin at $146,610.00 and up to $207,700.00. full-time employees are also eligible for a bonus, competitive equity package, and benefits. the actual base salary offered may be higher, depending on your location, skills, qualifications, and experience.

in this role, you can expect to:
- lead and grow a high-performing product compliance team that partners directly with cross-functional stakeholders to advise on product strategy, design, and implementation.
- enable product velocity by building a proactive advisory model that embeds compliance early and meaningfully into the product development lifecycle.
- oversee the development and communication of clear product and compliance requirements that drive scalable solutions and risk mitigation.
- leverage ai tools, automation, and scalable workflows to improve the speed, consistency, and quality of marketing compliance reviews.
- guide risk-based compliance assessments for new and existing products to ensure adherence to regulatory expectations and internal standards.please mention the word **dreamland** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Power Digital,Marketing Operations Strategist,Remote - Argentina,"who we are:
we are a tech-enabled growth firmâat the intersection of marketing, consulting & data intelligenceâigniting revenue and brand recognition for leading and emerging companies around the world. as a people-first firm, we value diversity in backgrounds and experiences. we strongly believe our people and culture are key to our success. our vision is to be recognized as the most valued and respected private growth marketing firm in the worldâwith a scalable brand, culture and services. our mission is to power the relentless pursuit of growth and redefine whatâs possible through a team of growth-obsessed experts who demand innovation and results - driven by integrity, autonomy, and grit.

as a full-service growth marketing firm, we offer best-in-class services including: seo, content marketing, paid media, social media marketing, programmatic + ctv, public relations, influencer marketing, email + sms, conversion rate optimization, retail marketing, and creative. here at power digital, we are hyper-focused on helping brands drive revenue growth and brand recognition, ultimately driving irrefutable value for our clients. 

at the heart of power digital is our proprietary technology, nova, which analyzes businesses through first-party data, simplifying investment planning for marketing and diligence in m&aââputting marketers in a strategic seat at the tableââand providing value in unparalleled ways. 

managing billions in media, our dynamic teamââof consultative marketers, creatives, analysts and technologistsââchallenge traditional ways of planning and measurement through meticulous testing and data science across each milestone of the customer journey.please mention the word **hail** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Power Digital,Marketing Operations Strategist,Costa Rica,"who we are:
we are a tech-enabled growth firmâat the intersection of marketing, consulting & data intelligenceâigniting revenue and brand recognition for leading and emerging companies around the world. as a people-first firm, we value diversity in backgrounds and experiences. we strongly believe our people and culture are key to our success. our vision is to be recognized as the most valued and respected private growth marketing firm in the worldâwith a scalable brand, culture and services. our mission is to power the relentless pursuit of growth and redefine whatâs possible through a team of growth-obsessed experts who demand innovation and results - driven by integrity, autonomy, and grit.

as a full-service growth marketing firm, we offer best-in-class services including: seo, content marketing, paid media, social media marketing, programmatic + ctv, public relations, influencer marketing, email + sms, conversion rate optimization, retail marketing, and creative. here at power digital, we are hyper-focused on helping brands drive revenue growth and brand recognition, ultimately driving irrefutable value for our clients. 

at the heart of power digital is our proprietary technology, nova, which analyzes businesses through first-party data, simplifying investment planning for marketing and diligence in m&aââputting marketers in a strategic seat at the tableââand providing value in unparalleled ways. 

managing billions in media, our dynamic teamââof consultative marketers, creatives, analysts and technologistsââchallenge traditional ways of planning and measurement through meticulous testing and data science across each milestone of the customerplease mention the word **feasible** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Salt Security,API Security Engineer,San Francisco,"salt is looking for accomplished, dedicated individuals to join us to help us build the industry's leading api security platform. see our open positions.please mention the word **faster** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
LetsGetChecked,Junior Technical Operations Engineer,Remote,"letsgetchecked is a global healthcare solutions company that provides the tools to manage health from home through health testing, virtual care, genetic sequencing, and medication delivery for a wide range of health and wellness conditions. letsgetchecked's end-to-end model includes manufacturing, logistics, lab analysis, physician support, and prescription fulfillment. founded in 2015 and co-headquartered in dublin and atlanta, letsgetchecked empowers people to take control of their health and live longer, happier lives.

as a junior technical operations engineer at letsgetchecked, you will provide technical operations expertise and thought leadership towards our core mission of empowering individuals, corporations, universities, public sector, and health insurance companies to use technology in a simple but powerful way to give them greater control of their healthcare needs. this role supports our operations, products, and growth with the tools and solutions to meet market demand in a 24x7 globally distributed environment. you will be at the intersection of technical operations, product engineering, cloud computing, and complex data environments and will need to be deeply experienced in at least three, passionate about all four, and conversant with stakeholders in all.

you will join us in supporting our large scale, distributed platform spanning across multiple geographic locations. our platform resides fully in aws, operates in dozens of markets globally and focuses on ease of use for our customers along with integrity & security for the data they trust us with.please mention the word **formidable** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['aws']
Braeburn,Key Account Manager Louisville KY,"Louisville, KY","reports to: regional director
location: louisville, ky
company overview:
braeburn is dedicated to delivering solutions for people living with the serious consequences of opioid use disorder. at braeburn, we challenge the status quo and champion transformation of the management of opioid use disorder (oud) by partnering with the community to create a world where every person with oud gets the best possible care and opportunity to reach their full potential. our shared commitment to innovation on behalf of patients enables us to help people with oud begin and sustain recovery.
at braeburn, there are opportunities to contribute to our purpose every day. we value authenticity and strive to amplify all voices. our culture empowers everyone to be successful and unleashes our full potential. 
position summary:
the key account manager will help braeburn accomplish its purpose by educating healthcare professionals (hcps) about braeburnâs products and related access resources. this role will help to ensure hcps are fully informed about the clinical aspects of the product as well as how to obtain the product when making an independent treatment decision for their patients.
specifically, the key account manager will meet their overall sales objectives by delivering clinical product-related information and providing access related information, in line with company policies, to appropriate hcps. the role will require the ability to deliver sales objectives as well as effectively educate on product acquisition, related payer policy, and reimbursement information.
the skills required for a key account manager are accountability, adaptability, business acumen/planning, judgement and collaboration, problem solving, account management, sense of urgency, decision making, and integrity.  individual must possess experience within a complex distribution model including specialty pharmacy, buy & bill and direct distribution.please mention the word **impeccable** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
ParetoHealth,Account Manager,Kansas City area,"weâre in this for the greater good at paretohealth. our mission is collective greatness, nothing less will do. our team is a single force united in the drive to transform employee health benefits.

the company was founded in 2011 to help small and medium-sized businesses fight the rising cost of employee health benefits. we blazed the trail with financing innovations that reduce the risks in self-insurance and deliver significant savingsâand we continue to lead with a growing ecosystem of partners and world-class cost control solutions.

but success is measured by more than dollars alone and we measure ours by the good that comes from knowing that every client and all their employees can count on effective, affordable health benefits.please mention the word **faith** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Protective,Regional VP AL TN,Work From Home,"the work we do has an impact on millions of lives, and you can be a part of it.we help protect our customers against lifeâs uncertainties. regardless of where you work within the company, youâll be helping provide protection and peace of mind when our customers need it most. protective life is currently seeking an experienced annuity wholesaler to join our distribution group as a regional vice president to cover the independent and bank channels with the territory consisting of state of alabama, eastern tn, panhandle of florida, southern louisiana, and southern mississippi. we offer a competitive compensation package that includes a base salary, strong corporate benefit package and uncapped commission plan. your responsibilities include:1.           develop and maintain a high level of annuity production through the execution of a detailed business plan including training, motivating, and developing successful working relationships with specified financial institutions. 2.           support and advocate for corporate objectives; act as a steward of company resources; and a leader within the annuity distribution group.3.           execute senior wholesaling functions in assigned geographic territories â cultivate a successful business to attain activity and sales goals with top producers in all distribution channels.4.           coordinate and execute a regional business plan with internal wholesalers â act as key driver to a three person sales team supporting an assigned geographic territory.  adhere to required activity requirements aligning within territory management strategy.  5.           execute on specific activity expectations to maximize opportunities to grow advisor relationships and sales. qualifications include:bs/ba degree5+ years of experience required in annuity wholesale distribution. previous external sales management is preferred.  proven track record of developing sales results in assigned territory.  experience in all channels of annuity distribution is optimal.  state life and health license and finra series 6 and 63 required#li-sb1 \n\n$60,000 - $60,000 a yearprotectiveâs targeted compensation for this position is $60k. actual salaries may vary depending on factors, including but not limited to, job location, skills, and experience. the range listed is just one component of protectiveâs total compensation package for employees. this position also includes cash compensation as a part of a sales incentive plan (sip). \nemployee benefits:  we aim to protect the wellbeing of our employees and their families with a broad benefits offering. in addition to offering comprehensive health, dental and vision insurance, we support emotional wellbeing through mental health benefits and an employee assistance program. work/life balance is important and protective offers a variety of paid time away benefits (e.g., paid time off, paid parental leave, short-term disability, and a cultural observance day). the financial health of our employees is just as important as physical and emotional health.  some of the financial wellbeing benefits include contributions to healthcare accounts, a pension plan, and a 401(k) plan with company matching. all employees are encouraged to protect their overall wellbeing by engaging in prohealth rewards, protectiveâs platform to improve wellbeing while earning cash rewards.   eligibility for certain benefits may vary by position in accordance with the terms of the companyâs benefit plans.accommodations for applicants with a disability:if you require an accommodation to complete the application and recruitment process due to a disability, please email eric.hess@protective.com. this information will be held in confidence and used only to determine an appropriate accommodation for the application and recruitment process.please note that the above email is solely for individuals with disabilities requesting an accommodation.  general employment questions should not be sent through this process.we are proud to be an equal opportunity employer committed to being inclusive and attracting, retaining, and growing an inclusive workforce.please mention the word **enchanting** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
